id,conName,start_date,end_date,year,event_location,city,state,state_abrev,country,website
1,Doxacon ,2023-11-03,2023-11-04,2023,Marymount University,Arlington,Virginia,VA,USA,www.doxacon.org
2,Grand Rapids Comic-Con ,2023-11-03,2023-11-05,2023,DeVos Place,Grand Rapids,Michigan,MI,USA,https://www.grcomiccon.com
3,Heroes Comic Con Stockholm ,2023-11-03,2023-11-05,2023,Stockholmsmässan,Älvsjö,Stockholm,STHLM,Sweden,https://www.comicconstockholm.se/
4,Rhode Island Comic Con ,2023-11-03,2023-11-05,2023,Convention Center / Amica Mutual Pavilion,Providence,Rhode Island,RI,USA,https://www.ricomiccon.com
5,Twin Cities Con ,2023-11-03,2023-11-05,2023,Minneapolis Convention Center,Minneapolis,Minnesota,MN,USA,https://www.twincitiescon.com
6,AugustaCon ,2023-11-04,2023-11-04,2023,DoubleTree Hotel,Augusta,Georgia,GA,USA,http://theaugustacon.com/
7,Akron Comicon ,2023-11-04,2023-11-05,2023,Emidio & Sons Banquet Center,Cuyahoga Falls,Ohio,OH,USA,https://www.akroncomicon.com/
8,Collect-A-Con Houston ,2023-11-04,2023-11-05,2023,George R. Brown Convention Center,Houston,Texas,TX,USA,collectaconusa.com/
9,NC Comicon: Bull City ,2023-11-04,2023-11-05,2023,Durham Convention Center,Durham,North Carolina,NC,USA,https://nccomicon.com/
10,Supanova Comic Con & Gaming - Adelaide ,2023-11-04,2023-11-05,2023,Adelaide Showground,Wayville,South Australia,SA,Australia,https://www.supanova.com.au/
11,TriCityComicCon  Postponed,2023-11-04,2023-11-05,2023,Polk County Commerce Center,Livingston,Texas,TX,USA,https://www.myticketing.pro/event/tricitycomiccon
12,Tyler Comic Con ,2023-11-04,2023-11-05,2023,Cascades Country Club,Tyler,Texas,TX,USA,https://tylercomiccon.com/
13,Angus ComiCon ,2023-11-05,2023-11-05,2023,Angus Recreation Centre,Angus,Ontario,ON,Canada,https://www.popculturecanada.ca/
14,Comic Book & Non-Sports Card Show ,2023-11-05,2023-11-05,2023,Annandale Volunteer Fire Department,Annandale,Virginia,VA,USA,https://shoffpromotions.com/
15,Near Mint Sundays ,2023-11-05,2023-11-05,2023,Brookhurst Community Center,Anaheim,California,CA,USA,pineapplesdocumentation.com/
16,New Egypt Comic Book & Toy Show ,2023-11-05,2023-11-05,2023,Elks Lodge,New Egypt,New Jersey,NJ,USA,https://comic-lair.com/show/
17,Pulp Adventurecon ,2023-11-05,2023-11-05,2023,Holiday Inn Philadelphia - South,Swedesboro,New Jersey,NJ,USA,pulp-adventurecon.square.site/
18,All C's Fan Expo ,2023-11-10,2023-11-12,2023,Arapahoe County Fairgrounds,Aurora,Colorado,CO,USA,https://www.allcscollectibles.com/
19,Memphis Comic and Fantasy Convention ,2023-11-10,2023-11-12,2023,Holiday Inn Memphis-Univ of Memphis,Memphis,Tennessee,TN,USA,memphiscfc.com/home/
20,Motor City Comic Con ,2023-11-10,2023-11-12,2023,Suburban Collection Showplace,Novi,Michigan,MI,USA,http://theaugustacon.com/
21,Rangerstop Convention ,2023-11-10,2023-11-12,2023,DoubleTree Hotel at SeaWorld,Orlando,Florida,FL,USA,https://www.diariozm.com/
22,Grit City Comic Show ,2023-11-11,2023-11-11,2023,Greater Tacoma Convention Center,Tacoma,Washington,WA,USA,https://gritcitycomicshow.com/
23,Kids Con New England,2023-11-11,2023-11-11,2023,DoubleTree Hotel,South Portland,Maine,ME,USA,https://kidsconne.com/
24,"Sports Card, Comic Book, Pokemon & Collectibles Expo ",2023-11-11,2023-11-11,2023,Virginia Beach Fieldhouse,Virginia Beach,Virginia,VA,USA,757cardshows.com/
25,Lawton Super Con ,2023-11-11,2023-11-12,2023,Comanche County Fairgrounds,Lawton,Oklahoma,OK,USA,https://www.superanimefest.com/ama
26,One-Con  Cancelled,2023-11-11,2023-11-12,2023,Wyndham Lancaster Resort and Convention Center,Lancaster,Pennsylvania,PA,USA,www.theonecon.com/
27,QuadCon Peoria ,2023-11-11,2023-11-12,2023,Northwoods Mall,Peoria,Illinois,IL,USA,https://quadcitycon.com/
28,Rocky Mountain Con ,2023-11-11,2023-11-12,2023,Embassy Suites at Central Park,Denver,Colorado,CO,USA,www.rockymountaincon.com/
29,Supanova Comic Con & Gaming - Brisbane ,2023-11-11,2023-11-12,2023,Brisbane Convention & Exhibition Centre,South Brisbane,Queensland,QLD,Australia,https://www.supanova.com.au/
30,TORG Gaming Expo ,2023-11-11,2023-11-12,2023,Ohio Expo Center - Bricker Building & Celeste Center,Columbus,Ohio,OH,USA,www.torgevents.com/
31,Canadian ToyCon ,2023-11-12,2023-11-12,2023,Holiday Inn Oakville Centre,Oakville,Ontario,ON,Canada,www.gtacons.com/
